,TPTG,TPCH,TPFC,TPA1,TPA2,TPAB,VLTG,VLCH,VLFC,VLPL,VLAB,IDTG,IDCH,IDFC,IDPL,IDAB,LDTG,LDCH,LDFC,LDPL,LDAB,HDTG,HDCH,HDFC,HDPL,HDA1,HDA2,V1TG,V1CH,V1FC,V1PL,V2TG,V2CH,V2FC,V2PL,V3TG,V3CH,V3FC,V3PL,V4TG,V4CH,V4FC,V4PL,V5TG,V5CH,V5FC,V5PL,V6TG,V6CH,V6FC,V6PL,L1TG,L1CH,L1FC,L1PL,L1AB,L2TG,L2CH,L2FC,L2PL,L2AB,L3TG,L3CH,L3FC,L3PL,L3AB,L4TG,L4CH,L4FC,L4PL,L4AB,L5TG,L5CH,L5FC,L5PL,L5AB,L6TG,L6CH,L6FC,L6PL,L6AB,H1TG,H1CH,H1FC,H1PL,H1A1,H1A2,H2TG,H2CH,H2FC,H2PL,H2A1,H2A2,H3TG,H3CH,H3FC,H3PL,H3A1,H3A2,H4TG,H4CH,H4FC,H4PL,H4A1,H4A2
V2PL,0.8757,0.3809,0.4012,-0.1678,0.1994,0.5517,0.9165,0.9152,0.9065,0.9,0.8502,0.7613,0.6232,0.6001,0.749,0.5346,0.4485,0.2006,0.1135,0.1859,0.3865,0.2853,-0.4117,-0.2928,-0.2897,-0.2103,0.2623,0.8283,0.8663,0.8635,0.8652,0.9802,0.9643,0.9542,1,0.9195,0.9173,0.924,0.9218,0.6524,0.6466,0.7003,0.654,0.2341,0.0641,0.4342,0.3107,0.285,-0.1764,-0.0161,0.8744,0.2409,-0.0771,-0.0225,-0.0822,-0.0382,-0.0246,-0.4026,-0.4566,-0.3525,-0.3739,0.0259,-0.2408,-0.3542,-0.2513,-0.199,0.3316,0.2491,0.1279,0.245,0.3299,0.6736,0.5936,0.5875,0.5782,0.6639,0.5979,0.5917,0.4557,0.5758,0.6614,-0.0277,-0.399,-0.3382,-0.358,-0.4072,-0.1726,0.1529,-0.3685,-0.2219,-0.1526,-0.2533,0.0973,0.4284,-0.1779,-0.1101,-0.0507,-0.048,0.2491,0.5441,0.0395,0.0319,0.1551,0.166,0.3186
V3TG,0.8246,0.4569,0.4799,-0.0391,0.2403,0.5844,0.839,0.8925,0.8983,0.8285,0.9121,0.7097,0.6427,0.6345,0.7728,0.574,0.4672,0.2424,0.1739,0.2332,0.397,0.2421,-0.282,-0.1574,-0.208,-0.0823,0.2864,0.6771,0.7204,0.6942,0.6944,0.9466,0.9184,0.93,0.9195,1,0.9468,0.9551,0.9663,0.8241,0.7843,0.8186,0.8071,0.4067,0.1379,0.3646,0.4148,0.2119,-0.2962,-0.0499,0.8344,0.2922,-0.0361,0.0368,-0.0383,0.0068,-0.0096,-0.3561,-0.3693,-0.3164,-0.3296,0.0343,-0.1974,-0.2653,-0.2055,-0.1672,0.3351,0.1901,0.1663,0.1862,0.2625,0.6236,0.4943,0.5528,0.4764,0.5745,0.6058,0.5674,0.4639,0.557,0.6263,-0.0232,-0.3549,-0.2736,-0.3254,-0.369,-0.1735,0.1414,-0.2829,-0.1239,-0.1167,-0.1999,0.0702,0.3447,-0.0869,0.0304,-0.004,0.0267,0.2068,0.4396,0.1274,0.223,0.1558,0.2936,0.3595
V3CH,0.8329,0.4495,0.4547,-0.1117,0.2444,0.593,0.8572,0.9563,0.9315,0.9033,0.9158,0.7603,0.7347,0.7324,0.8511,0.6714,0.4999,0.2274,0.1572,0.2182,0.4019,0.2962,-0.3608,-0.2356,-0.2612,-0.1571,0.2916,0.7069,0.8091,0.7475,0.7459,0.8918,0.9419,0.9387,0.9173,0.9468,1,0.9651,0.9466,0.7915,0.8285,0.8713,0.8162,0.3831,0.2152,0.5361,0.4628,0.386,-0.2311,-0.063,0.8345,0.3309,0.0037,0.0972,0.0038,0.05,0.0045,-0.3887,-0.4022,-0.3476,-0.3603,0.0513,-0.2381,-0.3067,-0.2467,-0.2011,0.3753,0.2888,0.1509,0.2879,0.3665,0.6725,0.6138,0.6196,0.6004,0.6793,0.5933,0.5627,0.4496,0.5516,0.6394,-0.0166,-0.3869,-0.3158,-0.3484,-0.3949,-0.1814,0.1485,-0.3353,-0.1708,-0.1358,-0.2386,0.0975,0.4239,-0.1354,-0.0495,-0.037,-0.0153,0.2618,0.5899,0.1336,0.1508,0.2342,0.2445,0.3765
V3FC,0.9162,0.4214,0.4424,-0.0936,0.2296,0.5804,0.9268,0.9544,0.964,0.9001,0.9528,0.8404,0.7,0.6637,0.8445,0.6492,0.4993,0.1841,0.1,0.1683,0.3736,0.2849,-0.3404,-0.231,-0.255,-0.1432,0.29,0.8119,0.8559,0.8162,0.8138,0.9143,0.9368,0.9584,0.924,0.9551,0.9651,1,0.9643,0.8105,0.7867,0.8484,0.8076,0.4257,0.1183,0.4867,0.3938,0.3373,-0.24,0.0612,0.8927,0.3395,-0.0653,0.0213,-0.0674,-0.0104,-0.0147,-0.4014,-0.4235,-0.3659,-0.3749,0.0189,-0.2701,-0.3673,-0.2846,-0.2349,0.3034,0.1543,0.0888,0.1479,0.2366,0.6567,0.5234,0.5654,0.5009,0.6084,0.639,0.6187,0.474,0.611,0.6961,0.0281,-0.3505,-0.3012,-0.3168,-0.3654,-0.1415,0.1719,-0.3095,-0.1714,-0.1154,-0.206,0.1209,0.3934,-0.1405,-0.0833,-0.0328,-0.0035,0.239,0.4776,0.0404,0.0809,0.0964,0.1987,0.3162
V3PL,0.8371,0.3848,0.3956,-0.1072,0.2368,0.5598,0.8598,0.907,0.9059,0.8593,0.9179,0.7365,0.6406,0.6186,0.8082,0.5862,0.4778,0.206,0.096,0.1969,0.3517,0.3554,-0.3524,-0.2937,-0.2455,-0.1499,0.2824,0.7355,0.7614,0.762,0.7722,0.9201,0.9035,0.9193,0.9218,0.9663,0.9466,0.9643,1,0.8175,0.7944,0.836,0.8301,0.3888,0.1925,0.4059,0.4516,0.2512,-0.1637,-0.0674,0.8496,0.3084,-0.015,-0.0062,-0.0215,0.0227,0.0399,-0.3158,-0.3908,-0.2651,-0.2841,0.1027,-0.157,-0.37,-0.1677,-0.1229,0.3483,0.1947,0.1248,0.1895,0.2752,0.6461,0.5225,0.5548,0.5029,0.6036,0.5448,0.5433,0.4107,0.5267,0.6061,0.062,-0.3868,-0.3537,-0.3424,-0.3771,-0.1425,0.2616,-0.2963,-0.2,-0.1355,-0.2208,0.1238,0.45,-0.1637,-0.0819,-0.0395,-0.0218,0.236,0.5039,0.023,0.0806,0.0964,0.179,0.3198
V4TG,0.7203,0.4086,0.3953,0.0742,0.281,0.4848,0.6812,0.8041,0.8106,0.7242,0.9021,0.6238,0.6418,0.6538,0.7785,0.6905,0.4829,0.1418,0.0576,0.1412,0.2812,0.3154,-0.1219,-0.0937,-0.0583,0.0271,0.3234,0.513,0.533,0.4937,0.4895,0.6724,0.6771,0.6712,0.6524,0.8241,0.7915,0.8105,0.8175,1,0.9248,0.9491,0.9714,0.8,0.4657,0.4927,0.709,0.1221,-0.3064,0.0536,0.7152,0.3988,-0.0081,0.064,0.0099,0.034,0.0516,-0.3457,-0.3431,-0.3271,-0.325,0.0522,-0.262,-0.3373,-0.2685,-0.2481,0.3398,0.1013,0.0733,0.1033,0.1655,0.5622,0.4009,0.4542,0.3864,0.4717,0.5026,0.4677,0.3425,0.4736,0.5162,0.0917,-0.2187,-0.1879,-0.1814,-0.2147,-0.0407,0.2426,-0.084,0.0078,0.0479,-0.0435,0.1729,0.3725,0.0494,0.0502,0.1129,0.1202,0.2685,0.3899,0.101,0.1512,0.13,0.2288,0.2826
V4CH,0.6541,0.4774,0.4397,-0.0235,0.2132,0.5812,0.6087,0.8158,0.7824,0.6947,0.8641,0.5841,0.7788,0.8094,0.8307,0.8038,0.552,0.252,0.1744,0.258,0.393,0.3115,-0.2202,-0.1699,-0.1425,-0.0704,0.2521,0.4329,0.5195,0.4511,0.4454,0.6371,0.7134,0.6786,0.6466,0.7843,0.8285,0.7867,0.7944,0.9248,1,0.9661,0.9754,0.6731,0.5185,0.4778,0.7098,0.1798,-0.3014,-0.0333,0.6821,0.4657,0.1673,0.2271,0.1836,0.2035,0.1371,-0.2834,-0.288,-0.2498,-0.2563,0.1521,-0.1863,-0.2777,-0.189,-0.1625,0.4213,0.1711,0.137,0.1732,0.2411,0.6365,0.4584,0.5261,0.4428,0.5362,0.5019,0.4799,0.3879,0.4719,0.531,0.0413,-0.2895,-0.2627,-0.2604,-0.2903,-0.1281,0.2066,-0.2038,-0.1007,-0.0688,-0.173,0.0683,0.3673,-0.0543,-0.0126,0.0113,0.0128,0.1897,0.4561,0.1231,0.1715,0.1599,0.2391,0.3163
V4FC,0.7522,0.4726,0.4543,0.0082,0.2948,0.5726,0.72,0.8841,0.8638,0.7919,0.9228,0.6839,0.7781,0.8013,0.8892,0.8085,0.5496,0.2132,0.1317,0.2161,0.3681,0.3643,-0.2224,-0.1593,-0.122,-0.0405,0.3415,0.5583,0.6368,0.5676,0.5598,0.6839,0.7578,0.7382,0.7003,0.8186,0.8713,0.8484,0.836,0.9491,0.9661,1,0.9719,0.7276,0.4767,0.5893,0.7102,0.273,-0.261,0.0196,0.7577,0.465,0.0916,0.1786,0.1093,0.1421,0.1218,-0.3414,-0.343,-0.3173,-0.3096,0.1308,-0.2314,-0.3119,-0.2361,-0.2023,0.4215,0.231,0.148,0.2341,0.3067,0.6308,0.5123,0.544,0.4987,0.5801,0.4838,0.4654,0.3346,0.4637,0.5334,0.079,-0.2952,-0.2528,-0.2448,-0.2885,-0.0795,0.254,-0.1731,-0.0399,0.0051,-0.1052,0.1771,0.4543,0.0038,0.0205,0.0884,0.0967,0.3135,0.5149,0.1191,0.1494,0.1988,0.236,0.331
V4PL,0.6952,0.425,0.3954,0.0123,0.2518,0.5346,0.6495,0.8153,0.8006,0.7145,0.8989,0.6191,0.7176,0.734,0.8328,0.7637,0.5461,0.1939,0.0965,0.2018,0.3296,0.3727,-0.1973,-0.1857,-0.1056,-0.0329,0.2894,0.4854,0.5339,0.4906,0.49,0.6558,0.6945,0.6818,0.654,0.8071,0.8162,0.8076,0.8301,0.9714,0.9754,0.9719,1,0.7388,0.5172,0.4833,0.7273,0.1633,-0.2675,0.0102,0.7135,0.4728,0.1016,0.1438,0.1218,0.144,0.1464,-0.2924,-0.3192,-0.2603,-0.2628,0.1634,-0.1934,-0.33,-0.196,-0.1709,0.4128,0.1459,0.1125,0.149,0.2171,0.608,0.4258,0.4855,0.4107,0.5033,0.4745,0.4446,0.327,0.4412,0.4998,0.1108,-0.2782,-0.2717,-0.2346,-0.2653,-0.0759,0.2896,-0.15,-0.0769,-0.0136,-0.1102,0.1431,0.4268,-0.0219,-0.0065,0.0623,0.0696,0.2427,0.4511,0.079,0.1324,0.1279,0.21,0.2877
V5TG,0.4847,0.2851,0.2676,0.305,0.3112,0.2535,0.3922,0.4948,0.5279,0.4266,0.6375,0.4021,0.4614,0.4774,0.5308,0.601,0.3677,-0.0201,-0.0674,0.0093,0.1122,0.3115,0.1603,0.1646,0.2559,0.2722,0.3506,0.2921,0.2749,0.2238,0.208,0.2632,0.2934,0.2611,0.2341,0.4067,0.3831,0.4257,0.3888,0.8,0.6731,0.7276,0.7388,1,0.5504,0.5014,0.7451,-0.0138,-0.2857,0.2209,0.4446,0.3968,-0.0534,0.0508,-0.0069,0.0109,0.0954,-0.2966,-0.2541,-0.3126,-0.2746,0.0389,-0.3059,-0.2786,-0.2969,-0.2984,0.2421,-0.0237,-0.0115,-0.0098,0.0244,0.3277,0.1575,0.2008,0.1559,0.2015,0.2993,0.2385,0.1139,0.2782,0.2837,0.2054,0.0389,0.0437,0.1042,0.0549,0.1994,0.3061,0.238,0.2891,0.3756,0.2958,0.3599,0.3578,0.3512,0.2344,0.41,0.4055,0.3755,0.194,0.0573,0.1215,0.1292,0.1627,0.0967
V5CH,0.0537,0.0334,-0.0629,0.0156,0.0974,0.0252,0.0271,0.2633,0.1906,0.2614,0.2648,0.0851,0.2454,0.3894,0.2998,0.3407,0.1283,-0.0311,-0.1059,0.0005,-0.0516,0.4679,0.0114,-0.1266,0.1453,0.0135,0.07,-0.0477,0.0233,0.0289,0.0409,0.0128,0.0702,0.0094,0.0641,0.1379,0.2152,0.1183,0.1925,0.4657,0.5185,0.4767,0.5172,0.5504,1,0.5471,0.8959,-0.0495,-0.0876,-0.1426,0.1061,0.2789,0.2962,0.1466,0.3175,0.2519,0.1993,0.0993,-0.0073,0.1547,0.1057,0.1727,0.0883,-0.1588,0.102,0.0672,0.1831,0.2197,-0.0466,0.2341,0.2173,0.0909,0.22,0.0749,0.2375,0.1756,-0.0973,-0.1313,-0.1824,-0.1256,-0.1058,0.2281,-0.0185,-0.1252,0.0293,0.0383,0.0969,0.3817,0.1366,-0.0427,0.1228,0.0647,0.1538,0.4356,0.0515,-0.0749,0.1236,0.0575,0.1845,0.5136,0.106,-0.0745,0.3308,-0.0494,0.0745
V5FC,0.5349,0.1314,0.1177,-0.0742,0.2428,0.1897,0.5691,0.6431,0.6091,0.7497,0.5383,0.5825,0.4442,0.4301,0.5748,0.4859,0.2369,-0.0719,-0.1291,-0.077,0.0534,0.3847,-0.1772,-0.1348,-0.071,-0.1011,0.27,0.5432,0.6323,0.5812,0.579,0.3298,0.4439,0.4001,0.4342,0.3646,0.5361,0.4867,0.4059,0.4927,0.4778,0.5893,0.4833,0.5014,0.5471,1,0.6108,0.4576,-0.027,0.167,0.469,0.2953,0,0.0348,0.0125,0.0282,0.0077,-0.2407,-0.2542,-0.2313,-0.2307,-0.0316,-0.2483,-0.3222,-0.2572,-0.2399,0.1237,0.3584,-0.1263,0.3668,0.3822,0.2599,0.5473,0.3026,0.5614,0.4955,0.2559,0.2133,0.0483,0.2232,0.2862,0.11,-0.13,-0.1471,-0.0843,-0.1164,0.0308,0.1867,-0.0628,-0.0536,0.0961,-0.0054,0.3027,0.5039,-0.0122,-0.1031,0.0887,0.0731,0.4291,0.7587,0.1662,-0.1464,0.4672,0.0014,0.2416
V5PL,0.3156,0.1555,0.11,0.0433,0.1416,0.1549,0.2927,0.5144,0.4702,0.4894,0.5436,0.2613,0.4401,0.5238,0.4903,0.5046,0.1757,-0.0231,-0.095,-0.0031,0.0184,0.4642,-0.0678,-0.1068,0.0936,0.024,0.1414,0.1826,0.2345,0.2144,0.2231,0.2823,0.3243,0.2561,0.3107,0.4148,0.4628,0.3938,0.4516,0.709,0.7098,0.7102,0.7273,0.7451,0.8959,0.6108,1,-0.0649,-0.2558,-0.1185,0.3293,0.246,0.1597,0.1024,0.1773,0.1392,0.0949,-0.1369,-0.2124,-0.0961,-0.1219,0.0678,-0.114,-0.2939,-0.1039,-0.1208,0.2227,0.1931,-0.0207,0.2059,0.2183,0.235,0.2869,0.1824,0.2968,0.2759,0.0199,0.0161,-0.0903,0.0236,0.0583,0.1957,-0.1184,-0.1608,-0.045,-0.0562,0.0571,0.3905,0.0755,0.0155,0.1518,0.0813,0.1985,0.4938,0.0892,0.01,0.1891,0.1465,0.2611,0.503,0.0592,-0.0155,0.2688,0.0288,0.0877
V6TG,0.3436,0.2296,0.1864,0.1048,0.3868,0.2693,0.3749,0.3577,0.3192,0.4368,0.2481,0.4356,0.2765,0.3298,0.4574,0.2989,0.39,0.1306,0.1314,0.1415,0.2226,0.2537,-0.0284,0.0052,0.0309,0.0929,0.3891,0.3505,0.4836,0.4072,0.406,0.2053,0.2917,0.3407,0.285,0.2119,0.386,0.3373,0.2512,0.1221,0.1798,0.273,0.1633,-0.0138,-0.0495,0.4576,-0.0649,1,0.3893,-0.0272,0.3816,0.3011,0.0436,0.1771,0.071,0.1144,0.1358,-0.1592,-0.0916,-0.1498,-0.144,0.1803,-0.0699,0.0143,-0.0664,-0.0263,0.294,0.4218,0.1771,0.4318,0.4637,0.3034,0.4794,0.3974,0.4904,0.4663,0.3525,0.2001,0.2095,0.2254,0.2512,0.1118,-0.006,0.0296,0.0271,-0.0181,0.1513,0.1111,-0.029,0.1309,0.1213,0.0669,0.3461,0.3492,0.0966,0.0578,0.1218,0.1554,0.4276,0.4935,0.1898,0.0548,0.3826,0.1218,0.2895
V6CH,-0.1676,-0.1575,-0.18,0.2529,0.365,-0.1931,-0.1443,-0.244,-0.2783,-0.1316,-0.3267,-0.0594,-0.2412,-0.3031,-0.0769,-0.1872,0.0956,-0.0998,-0.148,-0.0666,-0.1489,0.4509,0.3183,0.1169,0.3945,0.2799,0.3255,-0.039,-0.0761,0.0177,0.0309,-0.2266,-0.2395,-0.2503,-0.1764,-0.2962,-0.2311,-0.24,-0.1637,-0.3064,-0.3014,-0.261,-0.2675,-0.2857,-0.0876,-0.027,-0.2558,0.3893,1,-0.1833,-0.0626,0.0286,0.0655,-0.0651,0.0756,0.0863,0.2812,0.2571,0.1664,0.276,0.2681,0.284,0.2187,-0.0527,0.2254,0.2375,0.0814,0.0445,-0.1253,0.0601,0.062,-0.012,0.0334,-0.0703,0.0553,0.0127,-0.1108,-0.1165,-0.0544,-0.0836,-0.1265,0.5239,0.4365,0.3673,0.491,0.4963,0.622,0.4778,0.4539,0.3596,0.4248,0.419,0.6138,0.3757,0.1978,0.1369,0.262,0.1948,0.4395,0.1127,-0.2725,-0.2833,-0.0331,-0.3964,-0.1504
V6FC,0.2505,0.1616,0.1409,0.0696,0.0312,0.101,0.217,0.1043,0.1808,0.1033,0.1409,0.2998,0.1703,-0.0201,0.1013,0.1742,-0.0369,0.0469,-0.0031,0.0041,0.0947,-0.226,0.1299,0.1054,-0.0423,0.0513,0.0818,0.3068,0.2308,0.2301,0.2101,-0.0172,0.0349,0.0364,-0.0161,-0.0499,-0.063,0.0612,-0.0674,0.0536,-0.0333,0.0196,0.0102,0.2209,-0.1426,0.167,-0.1185,-0.0272,-0.1833,1,0.1759,0.1815,0.053,0.155,0.0432,0.0875,0.0416,0.0532,0.1267,-0.0214,0.0322,-0.1978,-0.1323,-0.0038,-0.1652,-0.1641,-0.3514,-0.1874,-0.1473,-0.2132,-0.2257,-0.1431,-0.0542,-0.059,-0.0897,-0.0572,0.112,0.2848,0.1582,0.2745,0.278,-0.0677,0.1246,-0.0106,0.0358,0.0037,-0.0297,-0.2188,0.025,-0.0584,0.0057,0.0426,0.0088,-0.2105,0.027,-0.0663,-0.0183,0.0636,-0.0037,-0.188,0.1142,-0.0604,-0.057,0.1058,0.0837
V6PL,0.9565,0.5823,0.5611,0.1398,0.4427,0.6607,0.9255,0.8951,0.9117,0.8441,0.8708,0.8995,0.7256,0.6888,0.8816,0.705,0.627,0.3153,0.2088,0.3197,0.4961,0.4265,-0.1079,-0.0599,0.0073,0.0913,0.5055,0.8686,0.8731,0.864,0.8534,0.8712,0.8823,0.8766,0.8744,0.8344,0.8345,0.8927,0.8496,0.7152,0.6821,0.7577,0.7135,0.4446,0.1061,0.469,0.3293,0.3816,-0.0626,0.1759,1,0.485,0.1066,0.1762,0.1219,0.1695,0.1861,-0.2698,-0.2835,-0.2289,-0.241,0.1739,-0.137,-0.2301,-0.1439,-0.0952,0.3604,0.1882,0.1957,0.1844,0.2715,0.6782,0.5006,0.5698,0.4791,0.5918,0.659,0.636,0.4983,0.6494,0.7153,0.1925,-0.142,-0.105,-0.0993,-0.1777,0.1068,0.3307,-0.0663,0.0464,0.1444,0.0385,0.3696,0.5274,0.1041,0.0896,0.2175,0.2275,0.4618,0.451,0.0098,0.0638,0.1062,0.1793,0.3079
L1TG,0.445,0.3907,0.3588,0.2046,0.2831,0.5021,0.3117,0.3765,0.3719,0.28,0.4637,0.4978,0.5944,0.5482,0.6165,0.7177,0.8457,0.2461,0.2295,0.3351,0.409,0.4804,0.0707,0.0663,0.201,0.1963,0.305,0.28,0.3334,0.2959,0.2785,0.2602,0.3433,0.3567,0.2409,0.2922,0.3309,0.3395,0.3084,0.3988,0.4657,0.465,0.4728,0.3968,0.2789,0.2953,0.246,0.3011,0.0286,0.1815,0.485,1,0.4483,0.4503,0.5378,0.62,0.7731,0.1156,0.138,0.1499,0.2004,0.7244,0.1355,0.0837,0.1675,0.2154,0.5606,0.0973,0.1698,0.1191,0.177,0.4498,0.1016,0.1918,0.1056,0.1837,0.3747,0.1544,0.1081,0.18,0.2394,0.3848,0.0332,-0.0529,0.0752,0.0288,0.204,0.4313,0.103,0.0905,0.2108,0.18,0.3226,0.5058,0.1832,0.1581,0.2798,0.3245,0.3412,0.3231,-0.0219,0.0993,0.0974,0.083,0.1053
L1CH,-0.0932,0.5669,0.4601,0.1736,0.1136,0.4336,-0.1519,-0.0093,-0.048,-0.0985,-0.0468,-0.0315,0.3392,0.3613,0.2287,0.2926,0.2343,0.6347,0.6152,0.6574,0.487,0.1483,0.2568,0.2002,0.2102,0.1824,0.0737,-0.1689,-0.111,-0.1131,-0.117,-0.0646,0.0126,-0.0376,-0.0771,-0.0361,0.0037,-0.0653,-0.015,-0.0081,0.1673,0.0916,0.1016,-0.0534,0.2962,0,0.1597,0.0436,0.0655,0.053,0.1066,0.4483,1,0.8598,0.9889,0.965,0.6632,0.7278,0.7316,0.7562,0.7328,0.5192,0.711,0.6177,0.7154,0.7129,0.1096,0.2373,0.3774,0.2201,0.2048,-0.0766,-0.0464,0.0115,-0.0597,-0.0513,-0.1248,-0.0934,-0.0474,-0.1081,-0.1099,0.1613,0.2115,0.1454,0.1574,0.1451,0.1402,0.1536,0.2004,0.087,0.0528,0.0872,0.0584,0.0597,0.104,0.1598,0.0628,0.0778,0.0454,-0.0033,0.0629,0.1086,0.0281,0.0219,0.0453
L1FC,0.0092,0.7206,0.6471,0.259,0.1318,0.5296,-0.0571,0.081,0.0629,-0.0143,0.0558,0.039,0.4482,0.4523,0.3036,0.3982,0.3072,0.6786,0.7361,0.6947,0.6181,-0.0293,0.2914,0.3708,0.216,0.2593,0.1189,-0.126,-0.0217,-0.1002,-0.1279,-0.0063,0.1056,0.0542,-0.0225,0.0368,0.0972,0.0213,-0.0062,0.064,0.2271,0.1786,0.1438,0.0508,0.1466,0.0348,0.1024,0.1771,-0.0651,0.155,0.1762,0.4503,0.8598,1,0.8663,0.875,0.6042,0.4466,0.5861,0.4273,0.4512,0.3989,0.4112,0.6693,0.4198,0.4308,0.1992,0.2753,0.4657,0.2637,0.2586,0.0643,0.0603,0.1744,0.0471,0.0741,0.0102,0.0523,0.1136,0.0581,0.0415,0.0683,0.2701,0.2707,0.2179,0.172,0.1615,-0.0552,0.1569,0.2255,0.1286,0.1446,0.0777,-0.0569,0.2087,0.2593,0.1289,0.1716,0.0843,-0.0761,0.1372,0.2341,0.0709,0.1479,0.0459
L1PL,-0.0735,0.5553,0.4429,0.2244,0.1532,0.4204,-0.1495,-0.0028,-0.0427,-0.0993,-0.0281,-0.0107,0.3609,0.3916,0.2534,0.3411,0.309,0.5916,0.5818,0.631,0.4704,0.2098,0.2853,0.2272,0.2727,0.2346,0.1136,-0.1704,-0.1055,-0.1167,-0.1232,-0.0663,0.0167,-0.0327,-0.0822,-0.0383,0.0038,-0.0674,-0.0215,0.0099,0.1836,0.1093,0.1218,-0.0069,0.3175,0.0125,0.1773,0.071,0.0756,0.0432,0.1219,0.5378,0.9889,0.8663,1,0.9793,0.7229,0.6772,0.6898,0.7127,0.6917,0.5782,0.6622,0.599,0.676,0.6739,0.1817,0.2196,0.3673,0.2107,0.1995,-0.0389,-0.066,-0.0007,-0.0738,-0.0624,-0.1015,-0.124,-0.0764,-0.1279,-0.1263,0.2146,0.2308,0.1609,0.1937,0.1727,0.19,0.2137,0.2396,0.1366,0.1211,0.1495,0.1171,0.1302,0.1691,0.203,0.1411,0.157,0.1049,0.0248,0.0553,0.1244,0.0499,0.0294,0.0324
L1AB,-0.0079,0.5881,0.5041,0.2127,0.1511,0.5002,-0.0859,0.0394,0.0112,-0.0552,0.0321,0.0458,0.4271,0.4063,0.3057,0.4125,0.4081,0.614,0.6128,0.6593,0.5365,0.2124,0.2616,0.2374,0.2476,0.2231,0.1236,-0.1071,-0.0421,-0.0598,-0.0692,-0.0153,0.0686,0.0274,-0.0382,0.0068,0.05,-0.0104,0.0227,0.034,0.2035,0.1421,0.144,0.0109,0.2519,0.0282,0.1392,0.1144,0.0863,0.0875,0.1695,0.62,0.965,0.875,0.9793,1,0.7874,0.6617,0.6885,0.6866,0.694,0.6387,0.6389,0.5829,0.6525,0.6699,0.2303,0.217,0.3685,0.2095,0.2108,0.0331,-0.0349,0.0431,-0.0439,-0.0163,-0.0267,-0.0446,-0.0026,-0.0482,-0.0414,0.2397,0.226,0.1522,0.1907,0.1643,0.1965,0.2198,0.2185,0.1405,0.1207,0.1579,0.1451,0.1509,0.1535,0.2149,0.1408,0.1701,0.1224,0.0192,0.0217,0.1268,0.0223,0.019,0.0207
L2TG,0.0635,0.3995,0.3871,0.2077,0.1576,0.446,-0.0351,0.0096,-0.0036,-0.0378,0.0779,0.077,0.2734,0.2322,0.3053,0.3634,0.6651,0.451,0.4458,0.5392,0.482,0.4312,0.1855,0.1357,0.2897,0.2253,0.1505,-0.0314,-0.0146,0.0059,-0.0004,-0.0042,0.0305,0.0302,-0.0246,-0.0096,0.0045,-0.0147,0.0399,0.0516,0.1371,0.1218,0.1464,0.0954,0.1993,0.0077,0.0949,0.1358,0.2812,0.0416,0.1861,0.7731,0.6632,0.6042,0.7229,0.7874,1,0.4785,0.4582,0.5008,0.5579,0.9139,0.499,0.4111,0.5362,0.5822,0.5806,0.2554,0.382,0.2719,0.3019,0.2658,0.0304,0.1037,0.0407,0.0783,0.0135,-0.0924,-0.09,-0.075,-0.0639,0.4671,0.2261,0.1235,0.2611,0.2341,0.3619,0.4596,0.2442,0.1728,0.2551,0.286,0.3496,0.3914,0.1669,0.1843,0.248,0.2663,0.2599,0.0926,-0.183,-0.0356,-0.0549,-0.1322,-0.1423
L2CH,-0.4269,0.1974,0.1449,0.1088,-0.0634,0.1003,-0.4517,-0.4206,-0.4308,-0.4338,-0.4206,-0.3361,-0.2046,-0.2043,-0.2401,-0.2462,-0.0814,0.4431,0.4089,0.4531,0.2009,0.0003,0.333,0.1873,0.2052,0.1427,-0.1283,-0.3833,-0.4176,-0.3362,-0.3254,-0.37,-0.3876,-0.3864,-0.4026,-0.3561,-0.3887,-0.4014,-0.3158,-0.3457,-0.2834,-0.3414,-0.2924,-0.2966,0.0993,-0.2407,-0.1369,-0.1592,0.2571,0.0532,-0.2698,0.1156,0.7278,0.4466,0.6772,0.6617,0.4785,1,0.9405,0.9779,0.991,0.4053,0.905,0.6283,0.8926,0.8801,-0.1906,0.0874,0.2024,0.0586,0.0084,-0.4111,-0.2767,-0.2648,-0.2854,-0.3285,-0.3118,-0.2477,-0.1694,-0.2689,-0.3194,0.17,0.3404,0.2323,0.257,0.3073,0.1824,0.0918,0.3055,0.0356,0.0079,0.1029,-0.0048,-0.1716,-0.0093,0.0633,-0.0756,-0.0664,-0.1507,-0.2599,-0.0529,-0.0421,-0.1349,-0.1756,-0.1306
