Name,Symbol,Isotopic Symbol,Mass,Abundance
Xenon,Xe,Xe(124),123.905894,0.1
Xenon,Xe,Xe(128),127.903531,1.91
Xenon,Xe,Xe(129),128.90478,26.4
Xenon,Xe,Xe(130),129.90351,4.1
Xenon,Xe,Xe(131),130.905076,21.2
Xenon,Xe,Xe(132),131.904148,26.9
Xenon,Xe,Xe(134),133.905395,10.4
Xenon,Xe,Xe(136),135.907219,8.9
Yttrium,Y,Y(89),88.905856,100
Ytterbium,Yb,Yb(168),167.933908,0.13
Ytterbium,Yb,Yb(170),169.934774,3.05
Ytterbium,Yb,Yb(171),170.936338,14.3
Ytterbium,Yb,Yb(172),171.936393,21.9
Ytterbium,Yb,Yb(173),172.938222,16.12
Ytterbium,Yb,Yb(174),173.938873,31.8
Ytterbium,Yb,Yb(176),175.942576,12.7
Zinc,Zn,Zn(64),63.929145,48.6
Zinc,Zn,Zn(66),65.926035,27.9
Zinc,Zn,Zn(67),66.927129,4.1
Zinc,Zn,Zn(68),67.924846,18.8
Zinc,Zn,Zn(70),69.925325,0.6
Zirconium,Zr,Zr(90),89.904708,51.45
Zirconium,Zr,Zr(91),90.905644,11.27
Zirconium,Zr,Zr(92),91.905039,17.17
Zirconium,Zr,Zr(94),93.906319,17.33
Zirconium,Zr,Zr(96),95.908272,2.78
